episode,score,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
163,206250.8532,-0.08,-0.13,128.03,-0.06,-0.1,28.18
164,206133.9372,-0.14,0.16,128.03,-0.07,0.1,28.18
165,206086.4454,-0.35,-0.0,128.03,-0.21,-0.02,28.18
166,206276.8969,0.07,-0.2,128.03,0.06,-0.16,28.18
167,206236.7470,0.16,0.24,128.03,0.12,0.2,28.18
168,206256.8822,-0.06,-0.1,128.03,-0.03,-0.09,28.18
169,206176.7164,-0.22,0.18,128.03,-0.13,0.18,28.18
170,206222.9303,0.04,0.06,128.03,0.09,0.02,28.18
171,206204.4661,-0.07,0.22,128.03,-0.06,0.14,28.18
172,206267.4056,0.14,0.18,128.03,0.12,0.13,28.18
173,206217.2595,-0.03,-0.24,128.03,0.01,-0.18,28.18
174,206226.2150,-0.04,0.2,128.03,-0.03,0.1,28.18
175,206238.3626,-0.21,-0.01,128.03,-0.16,-0.01,28.18
176,206317.7103,0.13,-0.05,128.03,0.1,-0.07,28.18
177,206156.3320,-0.07,-0.25,128.03,-0.0,-0.16,28.18
178,206117.0090,-0.3,0.07,128.03,-0.19,0.05,28.18
179,206265.9889,0.14,0.07,128.03,0.12,0.05,28.18
180,206276.7309,0.11,-0.08,128.03,0.08,-0.04,28.18
181,206155.3677,-0.15,-0.29,128.03,-0.1,-0.23,28.18
182,206250.4249,0.14,0.04,128.03,0.1,0.06,28.18
183,206290.9769,0.01,0.12,128.03,0.02,0.08,28.18
184,206222.7804,-0.04,-0.16,128.03,0.01,-0.11,28.18
185,206251.9587,-0.11,-0.05,128.03,-0.04,-0.01,28.18
186,206236.6394,0.23,0.08,128.03,0.15,0.08,28.18
187,206133.0235,0.08,-0.31,128.03,0.03,-0.21,28.18
188,206077.4055,-0.26,0.27,128.03,-0.2,0.16,28.18
189,206161.1414,-0.05,-0.18,128.03,0.01,-0.11,28.18
190,206260.9325,0.06,-0.16,128.03,0.03,-0.1,28.18
191,206304.0262,0.01,0.14,128.03,0.01,0.1,28.18
192,206210.5863,-0.27,-0.04,128.03,-0.19,-0.03,28.18
193,206305.6278,0.07,0.06,128.03,0.05,0.07,28.18
194,206286.5138,0.02,0.05,128.03,0.01,0.06,28.18
195,206229.0219,-0.28,-0.1,128.03,-0.21,-0.08,28.18
196,206309.7646,0.11,-0.03,128.03,0.07,-0.03,28.18
197,206287.4878,-0.11,-0.08,128.03,-0.06,-0.05,28.18
198,206235.8272,-0.09,-0.2,128.03,-0.05,-0.14,28.18
